# version=2017
# observatory
! mpcCode W84
# submitter
! name C. O. Chandler
# observers
! name David James
! name Simon Birrer
! name Liz Buckley-Geer
! name Brian Nord
! name Ting Li
! name Kathy Vivas
! name Dillon Brout
# measurers
! name C. O. Chandler
! name J. Murtagh
# telescope
! design 4.0-m reflector
! aperture 4.0
! detector CCD
# comment
! line Contact: coc123@uw.edu
! line Generated by Photometry Pipeline pptool_mpcsubmission.py
permID|provID|trkSub|mode|stn|obsTime|ra|dec|rmsRA|rmsDec|astCat|photCat|mag|rmsMag|band|exp|seeing|prog|remarks
|2013 RN30||CCD|W84|2014-10-18T04:38:43.973Z|9.27481699|0.83549785|0.1168|0.0792|Gaia2|SDSS-R9|22.5829|0.0573|g|500|1.71||c4d_141018_044343_ooi_g_ls10_chip25-S2.fits; PROPID=2014B-0614
|2013 RN30||CCD|W84|2014-10-18T04:56:21.085Z|9.27400247|0.83497075|0.1001|0.0894|Gaia2|SDSS-R9|22.5601|0.0581|g|500|1.74||c4d_141018_050120_ooi_g_ls10_chip32-N2.fits; PROPID=2014B-0614
|2013 RN30||CCD|W84|2014-10-18T05:05:08.436Z|9.27358011|0.8347012|0.0911|0.091|Gaia2|SDSS-R9|22.5919|0.0593|g|500|1.88||c4d_141018_051006_ooi_g_ls10_chip32-N2.fits; PROPID=2014B-0614
|2013 RN30||CCD|W84|2014-10-18T05:13:56.971Z|9.27316691|0.83442701|0.1027|0.0931|Gaia2|SDSS-R9|22.4907|0.0606|g|500|2.11||c4d_141018_051855_ooi_g_ls10_chip32-N2.fits; PROPID=2014B-0614
|2013 RN30||CCD|W84|2014-10-18T05:31:34.507Z|9.27236842|0.83390646|0.1148|0.0814|Gaia2|SDSS-R9|22.4708|0.0616|g|500|1.69||c4d_141018_053632_ooi_g_ls10_chip25-S2.fits; PROPID=2014B-0614
|2013 RN30||CCD|W84|2014-10-18T06:05:32.968Z|9.27079083|0.83287726|0.1274|0.0861|Gaia2|SDSS-R9|21.8695|0.0702|r|450|1.57||c4d_141018_061008_ooi_r_ls10_chip25-S2.fits; PROPID=2014B-0614
|2013 RN30||CCD|W84|2014-10-18T06:21:27.757Z|9.27004247|0.83240254|0.0983|0.0962|Gaia2|SDSS-R9|21.8678|0.0686|r|450|1.91||c4d_141018_062606_ooi_r_ls10_chip32-N2.fits; PROPID=2014B-0614
|2013 RN30||CCD|W84|2014-10-18T06:37:24.663Z|9.26931264|0.83192355|0.123|0.0846|Gaia2|SDSS-R9|21.951|0.0739|r|450|1.85||c4d_141018_064159_ooi_r_ls10_chip25-S2.fits; PROPID=2014B-0614
|2013 RN30||CCD|W84|2014-10-18T07:06:45.262Z|9.2679524|0.83103028|0.1158|0.0753|Gaia2|SDSS-R9|21.7133|0.0906|i|350|2.06||c4d_141018_071029_ooi_i_ls11_chip25-S2.fits; PROPID=2014B-0614
|2013 RN30||CCD|W84|2014-10-18T07:19:21.167Z|9.26738464|0.83066465|0.1236|0.0791|Gaia2|SDSS-R9|21.6504|0.0939|i|350|2.03||c4d_141018_072306_ooi_i_ls11_chip25-S2.fits; PROPID=2014B-0614
|2013 RN30||CCD|W84|2014-10-29T05:01:03.588Z|8.60303758|0.38533955|0.0989|0.1038|Gaia2|SDSS-R9|22.2348|0.1338|r|90|1.42||c4d_141029_050239_ooi_r_ls9_chip41-N11.fits; PROPID=2012B-0001
|2013 RN30||CCD|W84|2016-12-23T03:34:13.236Z|44.91762664|3.25643009|0.1123|0.1098|Gaia2|SDSS-R9|22.3725|0.1765|i|90|2.19||c4d_161223_033551_ooi_i_ls10_chip60-N31.fits; PROPID=2012B-0001
|2013 RN30||CCD|W84|2016-12-23T03:36:11.776Z|44.91756428|3.25638662|0.08|0.0881|Gaia2|SDSS-R9|22.8789|0.1236|r|90|1.49||c4d_161223_033747_ooi_r_ls9_chip22-S12.fits; PROPID=2012B-0001
|2013 RN30||CCD|W84|2016-12-25T03:11:23.044Z|44.84660497|3.25833596|0.1034|0.089|Gaia2|SDSS-R9|22.728|0.1642|i|90|2.04||c4d_161225_031300_ooi_i_ls10_chip60-N31.fits; PROPID=2012B-0001
|2013 RN30||CCD|W84|2016-12-25T03:13:22.561Z|44.84655484|3.25832585|0.0984|0.1048|Gaia2|SDSS-R9|23.591|0.155|g|90|2||c4d_161225_031457_ooi_g_ls9_chip22-S12.fits; PROPID=2012B-0001
